Message,Time,Longitude,Latitude,Technology_Mode,NR_UE_PCI_0,NR_UE_RSRP_0,NR_UE_RSRQ_0,NR_UE_SINR_0,NR_UE_Nbr_PCI_0,NR_UE_Nbr_PCI_1,NR_UE_Nbr_PCI_2,NR_UE_Nbr_PCI_3,NR_UE_Nbr_PCI_4,NR_UE_Nbr_RSRP_0,NR_UE_Nbr_RSRP_1,NR_UE_Nbr_RSRP_2,NR_UE_Nbr_RSRP_3,NR_UE_Nbr_RSRP_4,NR_UE_Nbr_RSRQ_0,NR_UE_Nbr_RSRQ_1,NR_UE_Nbr_RSRQ_2,NR_UE_Nbr_RSRQ_3,NR_UE_Nbr_RSRQ_4,NR_UE_Timing_Advance,NR_UE_Pathloss_DL_0,NR_UE_Throughput_PDCP_DL,App_Throughput_DL,NR_UE_NACK_Rate_DL_0,NR_UE_Ack_As_Nack_DL_0,NR_UE_MCS_DL_0,NR_UE_RB_Num_DL_0,NR_UE_Modulation_Avg_DL_0,NR_UE_RI_DL_0,NR_UE_BLER_DL_0,NR_UE_CCE_AggregationLev_0,NR_UE_Power_Tx_PUSCH_0,NR_UE_Power_Tx_PRACH_0,NR_UE_NACK_Rate_UL_0,NR_UE_RACH_Attempt,NR_UE_RACH_OK,NR_UE_RACH_Fail,NR_UE_RACH_Procedure_Count,NR_UE_RRCReEstAttempt,NR_UE_RRCReEstFail,NR_UE_RRCReEst_EndResult,NR_UE_RRCConnectionAttempt,NR_UE_RRCConnectionSetupOk,,NR_UE_RRCConnectionComplete,NR_UE_RRCConnectionDrop,NR_UE_RRCHOAttempt,NR_UE_RRCHOOK,NR_RRC_MsgType,NAS_5GS_MM_MessageType,NAS_5GS_SM_MessageType
21,03/14/2025 12:14:34,29.02949,41.10723,5GSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,0,0,,0,0,0,0,,,
22,03/14/2025 12:14:34,29.02949,41.10723,5GSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,0,0,,0,0,0,0,,,
23,03/14/2025 12:14:34,29.02949,41.10723,5GSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,0,0,,0,0,0,0,,,
24,03/14/2025 12:14:34,29.02949,41.10723,5GSA,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,0,0,0,,0,0,,0,0,,0,0,0,0,,,
25,03/14/2025 12:14:34,29.02949,41.10723,5GSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,0,0,,0,0,0,0,,,
26,03/14/2025 12:14:34,29.02949,41.10723,5GSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rank2,,,,,,0,0,0,,0,0,,0,0,,0,0,0,0,,,
27,03/14/2025 12:14:34,29.02949,41.10723,5GSA,48,-84.4,-11,6.9,76,,,,,-96.9,,,,,-16.1,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,0,0,,0,0,0,0,,,
28,03/14/2025 12:14:34,29.02949,41.10723,5GSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,0,0,,0,0,0,0,,,
29,03/14/2025 12:14:34,29.02949,41.10723,5GSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,0,0,,0,0,0,0,,,
30,03/14/2025 12:14:34,29.02949,41.10723,5GSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,0,0,,0,0,0,0,,,
31,03/14/2025 12:14:34,29.02949,41.10723,5GSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,0,0,,0,0,0,0,,,
32,03/14/2025 12:14:34,29.02949,41.10723,5GSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,0,0,,0,0,0,0,,,
33,03/14/2025 12:14:34,29.02949,41.10723,5GSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,0,0,,0,0,0,0,,,
34,03/14/2025 12:14:34,29.02949,41.10723,5GSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,0,0,,0,0,0,0,,,
35,03/14/2025 12:14:34,29.02949,41.10723,5GSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,0,0,,0,0,0,0,,,
36,03/14/2025 12:14:34,29.02949,41.10723,5GSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,0,0,,0,0,0,0,,,
37,03/14/2025 12:14:34,29.02949,41.10723,5GSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,0,0,,0,0,0,0,,,
38,03/14/2025 12:14:34,29.02949,41.10723,5GSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,0,0,,0,0,0,0,,,
39,03/14/2025 12:14:34,29.02949,41.10723,5GSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,0,0,,0,0,0,0,,,
40,03/14/2025 12:14:34,29.02949,41.10723,5GSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,0,0,,0,0,0,0,,,
41,03/14/2025 12:14:34,29.02949,41.10723,5GSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,0,0,,0,0,0,0,,,
42,03/14/2025 12:14:34,29.02949,41.10723,5GSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,0,0,,0,0,0,0,,,
43,03/14/2025 12:14:34,29.02949,41.10723,5GSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,0,0,,0,0,0,0,,,
44,03/14/2025 12:14:34,29.02949,41.10723,5GSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,0,0,,0,0,0,0,,,
45,03/14/2025 12:14:34,29.02949,41.10723,5GSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,0,0,,0,0,0,0,,,
46,03/14/2025 12:14:34,29.02949,41.10723,5GSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,0,0,,0,0,0,0,,,
47,03/14/2025 12:14:34,29.02949,41.10723,5GSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,0,0,,0,0,0,0,,,
48,03/14/2025 12:14:34,29.02949,41.10723,5GSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,0,0,,0,0,0,0,,,
49,03/14/2025 12:14:34,29.02949,41.10723,5GSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,0,0,,0,0,0,0,,,
50,03/14/2025 12:14:34,29.02949,41.10723,5GSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,0,0,,0,0,0,0,,,
51,03/14/2025 12:14:34,29.02949,41.10723,5GSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,0,0,,0,0,0,0,,,
52,03/14/2025 12:14:34,29.02949,41.10723,5GSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,0,0,,0,0,0,0,,,
53,03/14/2025 12:14:34,29.02949,41.10723,5GSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,0,0,,0,0,0,0,,,
54,03/14/2025 12:14:34,29.02949,41.10723,5GSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,0,0,,0,0,0,0,,,
55,03/14/2025 12:14:34,29.02949,41.10723,5GSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,0,0,,0,0,0,0,,,
56,03/14/2025 12:14:34,29.02949,41.10723,5GSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,0,0,,0,0,0,0,,,
57,03/14/2025 12:14:34,29.02949,41.10723,5GSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,0,0,,0,0,0,0,,,
58,03/14/2025 12:14:34,29.02949,41.10723,5GSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,0,0,,0,0,0,0,,,
59,03/14/2025 12:14:34,29.02949,41.10723,5GSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,0,0,,0,0,0,0,,,
60,03/14/2025 12:14:34,29.02949,41.10723,5GSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,0,0,,0,0,0,0,,,
61,03/14/2025 12:14:34,29.02949,41.10723,5GSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,0,0,,0,0,0,0,,,
62,03/14/2025 12:14:34,29.02949,41.10723,5GSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,0,0,,0,0,0,0,,,
63,03/14/2025 12:14:34,29.02949,41.10723,5GSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,0,0,,0,0,0,0,,,
64,03/14/2025 12:14:34,29.02949,41.10723,5GSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,0,0,,0,0,0,0,,,
65,03/14/2025 12:14:34,29.02949,41.10723,5GSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,0,0,,0,0,0,0,,,
66,03/14/2025 12:14:34,29.02949,41.10723,5GSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,0,0,,0,0,0,0,,,
67,03/14/2025 12:14:34,29.02949,41.10723,5GSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,0,0,,0,0,0,0,,,
68,03/14/2025 12:14:34,29.02949,41.10723,5GSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,0,0,,0,0,0,0,,,
69,03/14/2025 12:14:34,29.02949,41.10723,5GSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,0,0,,0,0,0,0,,,
70,03/14/2025 12:14:34,29.02949,41.10723,5GSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,0,0,,0,0,0,0,,,
71,03/14/2025 12:14:34,29.02949,41.10723,5GSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,0,0,,0,0,0,0,,,
72,03/14/2025 12:14:34,29.02949,41.10723,5GSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,0,0,,0,0,0,0,,,
73,03/14/2025 12:14:34,29.02949,41.10723,5GSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,0,0,,0,0,0,0,,,
74,03/14/2025 12:14:34,29.02949,41.10723,5GSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,0,0,,0,0,0,0,,,
75,03/14/2025 12:14:34,29.02949,41.10723,5GSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,0,0,,0,0,0,0,,,
76,03/14/2025 12:14:34,29.02949,41.10723,5GSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,0,0,,0,0,0,0,,,
77,03/14/2025 12:14:34,29.02949,41.10723,5GSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,0,0,,0,0,0,0,,,
78,03/14/2025 12:14:34,29.02949,41.10723,5GSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,0,0,,0,0,0,0,,,
79,03/14/2025 12:14:34,29.02949,41.10723,5GSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,0,0,,0,0,0,0,,,
80,03/14/2025 12:14:34,29.02949,41.10723,5GSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,0,0,,0,0,0,0,,,
81,03/14/2025 12:14:34,29.02949,41.10723,5GSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,0,0,,0,0,0,0,,,
82,03/14/2025 12:14:34,29.02949,41.10723,5GSA,48,-85.1,-11.2,,76,,,,,-95.3,,,,,-16.2,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,0,0,,0,0,0,0,,,
83,03/14/2025 12:14:34,29.02949,41.10723,5GSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,0,0,,0,0,0,0,,,
84,03/14/2025 12:14:34,29.02949,41.10723,5GSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,0,0,,0,0,0,0,,,
85,03/14/2025 12:14:34,29.02949,41.10723,5GSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,0,0,,0,0,0,0,,,
86,03/14/2025 12:14:34,29.02949,41.10723,5GSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,0,0,,0,0,0,0,,,
87,03/14/2025 12:14:34,29.02949,41.10723,5GSA,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,17.5,,0,0,0,0,,0,0,,0,0,,0,0,0,0,,,
88,03/14/2025 12:14:34,29.02949,41.10723,5GSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,0,0,,0,0,0,0,,,
89,03/14/2025 12:14:34,29.02949,41.10723,5GSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,0,0,,0,0,0,0,,,
90,03/14/2025 12:14:34,29.02949,41.10723,5GSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,0,0,,0,0,0,0,,,
91,03/14/2025 12:14:34,29.02949,41.10723,5GSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,0,0,,0,0,0,0,,,
92,03/14/2025 12:14:34,29.02949,41.10723,5GSA,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,0,0,,0,0,0,0,,,
93,03/14/2025 12:14:34,29.02949,41.10723,5GSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,0,0,,0,0,0,0,,,
94,03/14/2025 12:14:34,29.02949,41.10723,5GSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,0,0,,0,0,0,0,,,
95,03/14/2025 12:14:34,29.02949,41.10723,5GSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,0,0,,0,0,0,0,,,
96,03/14/2025 12:14:34,29.02949,41.10723,5GSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,0,0,,0,0,0,0,,,
97,03/14/2025 12:14:34,29.02949,41.10723,5GSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,0,0,,0,0,0,0,,,
98,03/14/2025 12:14:34,29.02949,41.10723,5GSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,0,0,,0,0,,0,0,0,0,,,
99,03/14/2025 12:14:34,29.02949,41.10723,5GSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,0,0,,0,0,0,0,,,
100,03/14/2025 12:14:34,29.02949,41.10723,5GSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,0,0,,0,0,0,0,,,
101,03/14/2025 12:14:34,29.02949,41.10723,5GSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,0,0,,0,0,0,0,,,
102,03/14/2025 12:14:34,29.02949,41.10723,5GSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,0,0,,0,0,0,0,,,
103,03/14/2025 12:14:34,29.02949,41.10723,5GSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,0,0,,0,0,0,0,,,
104,03/14/2025 12:14:34,29.02949,41.10723,5GSA,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,0,0,0,,0,0,,0,0,,0,0,0,0,,,
105,03/14/2025 12:14:34,29.02949,41.10723,5GSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,0,0,,0,0,0,0,,,
106,03/14/2025 12:14:34,29.02949,41.10723,5GSA,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,0,0,0,,0,0,,0,0,,0,0,0,0,,,
107,03/14/2025 12:14:34,29.02949,41.10723,5GSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,0,0,,0,0,0,0,,,
108,03/14/2025 12:14:34,29.02949,41.10723,5GSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,0,0,,0,0,0,0,,,
109,03/14/2025 12:14:34,29.02949,41.10723,5GSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,0,0,,0,0,0,0,,,
110,03/14/2025 12:14:34,29.02949,41.10723,5GSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,0,0,,0,0,0,0,,,
111,03/14/2025 12:14:34,29.02949,41.10723,5GSA,48,-86.2,-11.5,5.6,76,,,,,-96.6,,,,,-17.5,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,0,0,,0,0,0,0,,,
112,03/14/2025 12:14:34,29.02949,41.10723,5GSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,0,0,,0,0,0,0,,,
113,03/14/2025 12:14:34,29.02949,41.10723,5GSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,0,0,,0,0,0,0,,,
114,03/14/2025 12:14:34,29.02949,41.10723,5GSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,0,0,,0,0,0,0,,,
115,03/14/2025 12:14:34,29.02949,41.10723,5GSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rank2,,,,,,0,0,0,,0,0,,0,0,,0,0,0,0,,,
116,03/14/2025 12:14:34,29.02949,41.10723,5GSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,0,0,,0,0,0,0,,,
117,03/14/2025 12:14:34,29.02949,41.10723,5GSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,0,0,,0,0,0,0,,,
118,03/14/2025 12:14:34,29.02949,41.10723,5GSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,0,0,,0,0,0,0,,,
119,03/14/2025 12:14:34,29.02949,41.10723,5GSA,,,,,,,,,,,,,,,,,,,,,,,,100,0,27 (64QAM OR 256QAM / Low SE -64QAM),16,,,100,,,,,0,0,0,,0,0,,0,0,,0,0,0,0,,,
120,03/14/2025 12:14:34,29.02949,41.10723,5GSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,0,0,,0,0,0,0,,,
121,03/14/2025 12:14:34,29.02949,41.10723,5GSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,0,0,,0,0,0,0,,,
122,03/14/2025 12:14:34,29.02949,41.10723,5GSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,256QAM,Rank2,,,,,,0,0,0,,0,0,,0,0,,0,0,0,0,,,
123,03/14/2025 12:14:34,29.02949,41.10723,5GSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,0,0,,0,0,0,0,,,
124,03/14/2025 12:14:34,29.02949,41.10723,5GSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,0,0,,0,0,0,0,,,
125,03/14/2025 12:14:34,29.02949,41.10723,5GSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,0,0,,0,0,0,0,,,
126,03/14/2025 12:14:34,29.02949,41.10723,5GSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,0,0,,0,0,0,0,,,
127,03/14/2025 12:14:34,29.02949,41.10723,5GSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,0,0,,0,0,0,0,,,
128,03/14/2025 12:14:34,29.02949,41.10723,5GSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,0,0,,0,0,0,0,,,
129,03/14/2025 12:14:34,29.02949,41.10723,5GSA,,,,,,,,,,,,,,,,,,,,,101.5,,,,,,,,,,,17.5,,0,0,0,0,,0,0,,0,0,,0,0,0,0,,,
130,03/14/2025 12:14:34,29.02949,41.10723,5GSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,0,0,,0,0,0,0,,,
131,03/14/2025 12:14:34,29.02949,41.10723,5GSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,0,0,,0,0,0,0,,,
