RSRP_PCI3,RSRP_PCI13,RSRP_PCI23,RSRP_PCI30,RSRP_PCI40,RSRP_PCI48,RSRP_PCI59,RSRP_PCI68,RSRP_PCI76,RSRQ_PCI3,RSRQ_PCI13,RSRQ_PCI23,RSRQ_PCI30,RSRQ_PCI40,RSRQ_PCI48,RSRQ_PCI59,RSRQ_PCI68,RSRQ_PCI76,SINR_Serving,TA_Serving,Latitude,Longitude
-140.0,-140.0,-140.0,-82.4,-140.0,-140.0,-89.6,-140.0,-140.0,-30.0,-30.0,-30.0,-10.5,-30.0,-30.0,-18.9,-30.0,-30.0,22.7,0.0,41.10783,29.02489
-140.0,-140.0,-140.0,-118.9,-118.4,-140.0,-140.0,-120.1,-121.3,-30.0,-30.0,-30.0,-16.1,-15.4,-30.0,-30.0,-16.6,-17.9,-8.0,0.0,41.10689,29.01657
-140.0,-140.0,-140.0,-120.1,-117.2,-140.0,-140.0,-118.5,-116.6,-30.0,-30.0,-30.0,-18.1,-15.9,-30.0,-30.0,-16.3,-14.8,-5.9,0.0,41.10701,29.01684
-140.0,-140.0,-140.0,-140.0,-140.0,-86.3,-140.0,-140.0,-89.0,-30.0,-30.0,-30.0,-30.0,-30.0,-11.8,-30.0,-30.0,-12.0,6.4,0.0,41.1072,29.02899
-140.0,-140.0,-140.0,-140.0,-140.0,-86.2,-140.0,-140.0,-90.8,-30.0,-30.0,-30.0,-30.0,-30.0,-11.9,-30.0,-30.0,-15.4,-1.3,0.0,41.10745,29.02914
-140.0,-140.0,-140.0,-62.4,-75.6,-140.0,-140.0,-140.0,-140.0,-30.0,-30.0,-30.0,-10.3,-20.3,-30.0,-30.0,-30.0,-30.0,-16.3,0.0,41.10764,29.02351
-140.0,-140.0,-140.0,-140.0,-140.0,-140.0,-140.0,-140.0,-140.0,-30.0,-30.0,-30.0,-30.0,-30.0,-30.0,-30.0,-30.0,-30.0,-20.0,0.0,41.09963,29.03034
-140.0,-140.0,-140.0,-140.0,-140.0,-140.0,-140.0,-120.3,-140.0,-30.0,-30.0,-30.0,-30.0,-30.0,-30.0,-30.0,-12.8,-30.0,3.5,0.0,41.09981,29.02221
-140.0,-140.0,-140.0,-140.0,-140.0,-140.0,-124.7,-120.6,-140.0,-30.0,-30.0,-30.0,-30.0,-30.0,-30.0,-17.5,-13.7,-30.0,-0.7,0.0,41.10023,29.02158
-140.0,-140.0,-140.0,-75.5,-84.0,-140.0,-140.0,-140.0,-140.0,-30.0,-30.0,-30.0,-10.4,-18.8,-30.0,-30.0,-30.0,-30.0,-14.1,0.0,41.10759,29.02332
-140.0,-140.0,-140.0,-140.0,-140.0,-80.0,-140.0,-140.0,-89.4,-30.0,-30.0,-30.0,-30.0,-30.0,-10.7,-30.0,-30.0,-18.9,21.0,0.0,41.10785,29.0291
-132.2,-140.0,-140.0,-140.0,-140.0,-140.0,-140.0,-140.0,-140.0,-20.1,-30.0,-30.0,-30.0,-30.0,-30.0,-30.0,-30.0,-30.0,-16.2,0.0,41.09932,29.02693
-140.0,-140.0,-140.0,-140.0,-140.0,-140.0,-140.0,-140.0,-140.0,-30.0,-30.0,-30.0,-30.0,-30.0,-30.0,-30.0,-30.0,-30.0,-20.0,0.0,41.10753,29.0231
-140.0,-140.0,-140.0,-140.0,-140.0,-140.0,-140.0,-123.2,-140.0,-30.0,-30.0,-30.0,-30.0,-30.0,-30.0,-30.0,-13.9,-30.0,0.4,0.0,41.09931,29.02337
-84.1,-68.5,-140.0,-140.0,-140.0,-140.0,-140.0,-140.0,-140.0,-18.7,-10.5,-30.0,-30.0,-30.0,-30.0,-30.0,-30.0,-30.0,15.7,0.0,41.10439,29.02033
-140.0,-68.9,-140.0,-140.0,-140.0,-140.0,-140.0,-140.0,-140.0,-30.0,-10.7,-30.0,-30.0,-30.0,-30.0,-30.0,-30.0,-30.0,15.6,0.0,41.10443,29.02055
-140.0,-140.0,-140.0,-140.0,-140.0,-140.0,-140.0,-140.8,-140.0,-30.0,-30.0,-30.0,-30.0,-30.0,-30.0,-30.0,-28.0,-30.0,-16.9,0.0,41.09929,29.02686
-140.0,-61.1,-140.0,-140.0,-140.0,-140.0,-140.0,-140.0,-140.0,-30.0,-10.4,-30.0,-30.0,-30.0,-30.0,-30.0,-30.0,-30.0,27.3,0.0,41.10446,29.02074
-140.0,-140.0,-140.0,-140.0,-140.0,-140.0,-140.0,-140.0,-140.0,-30.0,-30.0,-30.0,-30.0,-30.0,-30.0,-30.0,-30.0,-30.0,-20.0,0.0,41.10453,29.02148
-84.6,-66.8,-140.0,-140.0,-140.0,-140.0,-140.0,-140.0,-140.0,-22.4,-10.4,-30.0,-30.0,-30.0,-30.0,-30.0,-30.0,-30.0,17.8,0.0,41.10437,29.02022
-140.0,-140.0,-140.0,-84.3,-85.6,-140.0,-140.0,-140.0,-140.0,-30.0,-30.0,-30.0,-11.8,-13.3,-30.0,-30.0,-30.0,-30.0,5.3,0.0,41.10756,29.02266
-140.0,-140.0,-140.0,-140.0,-140.0,-140.0,-140.0,-122.0,-140.0,-30.0,-30.0,-30.0,-30.0,-30.0,-30.0,-30.0,-13.2,-30.0,2.4,0.0,41.09934,29.02317
-82.3,-95.3,-99.9,-140.0,-140.0,-140.0,-140.0,-140.0,-140.0,-11.1,-19.8,-22.3,-30.0,-30.0,-30.0,-30.0,-30.0,-30.0,13.9,0.0,41.10514,29.02288
-140.0,-140.0,-140.0,-61.2,-75.2,-140.0,-140.0,-140.0,-140.0,-30.0,-30.0,-30.0,-10.3,-20.6,-30.0,-30.0,-30.0,-30.0,-18.1,0.0,41.10764,29.02353
-140.0,-140.0,-140.0,-140.0,-140.0,-140.0,-140.0,-140.0,-140.0,-30.0,-30.0,-30.0,-30.0,-30.0,-30.0,-30.0,-30.0,-30.0,-20.0,0.0,41.10767,29.02368
-140.0,-140.0,-140.0,-68.4,-140.0,-140.0,-140.0,-140.0,-140.0,-30.0,-30.0,-30.0,-10.4,-30.0,-30.0,-30.0,-30.0,-30.0,32.7,0.0,41.10785,29.02467
-140.0,-140.0,-140.0,-140.0,-140.0,-140.0,-140.0,-127.7,-140.0,-30.0,-30.0,-30.0,-30.0,-30.0,-30.0,-30.0,-16.2,-30.0,-7.0,0.0,41.09904,29.02617
-140.0,-140.0,-140.0,-140.0,-140.0,-140.0,-140.0,-120.2,-140.0,-30.0,-30.0,-30.0,-30.0,-30.0,-30.0,-30.0,-12.5,-30.0,1.5,0.0,41.09936,29.02311
-80.1,-89.4,-140.0,-140.0,-140.0,-140.0,-140.0,-108.0,-140.0,-11.2,-20.1,-30.0,-30.0,-30.0,-30.0,-30.0,-24.7,-30.0,11.0,0.0,41.10469,29.02284
-81.1,-140.0,-140.0,-140.0,-140.0,-140.0,-140.0,-83.3,-140.0,-11.6,-30.0,-30.0,-30.0,-30.0,-30.0,-30.0,-15.1,-30.0,6.7,0.0,41.10477,29.02304
-77.0,-104.3,-140.0,-140.0,-140.0,-140.0,-140.0,-88.7,-140.0,-11.0,-26.1,-30.0,-30.0,-30.0,-30.0,-30.0,-20.4,-30.0,10.0,0.0,41.10479,29.02301
-75.2,-140.0,-140.0,-140.0,-140.0,-140.0,-140.0,-100.1,-140.0,-10.7,-30.0,-30.0,-30.0,-30.0,-30.0,-30.0,-24.5,-30.0,14.4,0.0,41.10484,29.02297
-83.0,-140.0,-90.1,-140.0,-107.8,-140.0,-140.0,-140.0,-140.0,-11.5,-30.0,-15.7,-30.0,-25.9,-30.0,-30.0,-30.0,-30.0,6.3,0.0,41.10543,29.02281
-140.0,-140.0,-140.0,-140.0,-140.0,-140.0,-140.0,-75.7,-81.3,-30.0,-30.0,-30.0,-30.0,-30.0,-30.0,-30.0,-11.0,-15.0,-2.3,0.0,41.10546,29.02769
-86.8,-140.0,-86.3,-140.0,-91.9,-140.0,-140.0,-140.0,-140.0,-13.3,-30.0,-13.5,-30.0,-18.2,-30.0,-30.0,-30.0,-30.0,5.1,0.0,41.1055,29.0228
-140.0,-140.0,-140.0,-140.0,-73.7,-140.0,-140.0,-140.0,-140.0,-30.0,-30.0,-30.0,-30.0,-10.4,-30.0,-30.0,-30.0,-30.0,27.3,0.0,41.1074,29.02183
-81.5,-87.9,-140.0,-140.0,-140.0,-140.0,-140.0,-94.8,-140.0,-11.2,-17.5,-30.0,-30.0,-30.0,-30.0,-30.0,-21.0,-30.0,11.7,0.0,41.10467,29.02269
-78.0,-100.8,-129.6,-140.0,-140.0,-140.0,-140.0,-140.0,-140.0,-10.8,-24.9,-34.5,-30.0,-30.0,-30.0,-30.0,-30.0,-30.0,11.7,0.0,41.10521,29.02287
-140.0,-140.0,-140.0,-140.0,-74.9,-140.0,-140.0,-140.0,-140.0,-30.0,-30.0,-30.0,-30.0,-10.3,-30.0,-30.0,-30.0,-30.0,29.7,0.0,41.10699,29.02152
-140.0,-140.0,-140.0,-66.0,-140.0,-140.0,-140.0,-140.0,-140.0,-30.0,-30.0,-30.0,-10.4,-30.0,-30.0,-30.0,-30.0,-30.0,35.3,0.0,41.10774,29.02393
-140.0,-140.0,-140.0,-140.0,-140.0,-140.0,-79.9,-140.0,-140.0,-30.0,-30.0,-30.0,-30.0,-30.0,-30.0,-10.7,-30.0,-30.0,11.4,0.0,41.10788,29.02691
-140.0,-140.0,-140.0,-140.0,-132.2,-140.0,-140.0,-137.5,-140.0,-30.0,-30.0,-30.0,-30.0,-19.4,-30.0,-30.0,-25.2,-30.0,-9.9,0.0,41.099,29.02604
-126.4,-140.0,-140.0,-140.0,-140.0,-140.0,-140.0,-140.0,-140.0,-14.0,-30.0,-30.0,-30.0,-30.0,-30.0,-30.0,-30.0,-30.0,-20.0,0.0,41.09965,29.02747
-94.4,-140.0,-140.0,-140.0,-140.0,-140.0,-140.0,-82.2,-140.0,-17.0,-30.0,-30.0,-30.0,-30.0,-30.0,-30.0,-10.6,-30.0,10.7,0.0,41.10488,29.02451
-79.8,-111.9,-94.8,-140.0,-140.0,-140.0,-140.0,-98.4,-140.0,-11.3,-28.9,-22.6,-30.0,-30.0,-30.0,-30.0,-23.3,-30.0,11.6,0.0,41.10493,29.02294
-140.0,-140.0,-140.0,-140.0,-140.0,-140.0,-140.0,-76.0,-85.2,-30.0,-30.0,-30.0,-30.0,-30.0,-30.0,-30.0,-10.4,-20.4,26.2,0.0,41.10505,29.02562
-81.2,-96.1,-87.8,-140.0,-91.5,-140.0,-140.0,-140.0,-140.0,-11.5,-21.6,-15.1,-30.0,-17.2,-30.0,-30.0,-30.0,-30.0,7.5,0.0,41.10536,29.02283
-140.0,-140.0,-140.0,-71.7,-140.0,-140.0,-140.0,-140.0,-140.0,-30.0,-30.0,-30.0,-10.3,-30.0,-30.0,-30.0,-30.0,-30.0,31.1,0.0,41.10785,29.02448
-140.0,-140.0,-140.0,-140.0,-140.0,-140.0,-140.0,-140.0,-140.0,-30.0,-30.0,-30.0,-30.0,-30.0,-30.0,-30.0,-30.0,-30.0,-20.0,0.0,41.09963,29.03008
-80.7,-91.8,-140.0,-140.0,-140.0,-140.0,-140.0,-97.7,-140.0,-11.5,-19.8,-30.0,-30.0,-30.0,-30.0,-30.0,-20.2,-30.0,7.7,0.0,41.10471,29.023
-88.3,-140.0,-98.9,-140.0,-140.0,-140.0,-140.0,-86.2,-140.0,-13.2,-30.0,-20.7,-30.0,-30.0,-30.0,-30.0,-13.1,-30.0,4.0,0.0,41.10473,29.02323
-140.0,-140.0,-140.0,-140.0,-140.0,-140.0,-140.0,-76.8,-140.0,-30.0,-30.0,-30.0,-30.0,-30.0,-30.0,-30.0,-10.4,-30.0,23.0,0.0,41.10498,29.02514
-140.0,-140.0,-118.4,-140.0,-113.6,-140.0,-140.0,-116.7,-108.4,-30.0,-30.0,-19.7,-30.0,-16.3,-30.0,-30.0,-18.9,-13.1,-0.8,0.0,41.10748,29.01903
-140.0,-140.0,-140.0,-82.1,-84.6,-140.0,-140.0,-140.0,-140.0,-30.0,-30.0,-30.0,-11.7,-12.9,-30.0,-30.0,-30.0,-30.0,5.2,0.0,41.10753,29.02274
-140.0,-140.0,-140.0,-64.2,-140.0,-140.0,-140.0,-140.0,-140.0,-30.0,-30.0,-30.0,-10.3,-30.0,-30.0,-30.0,-30.0,-30.0,35.5,0.0,41.10761,29.02344
-140.0,-140.0,-140.0,-61.3,-140.0,-140.0,-140.0,-140.0,-140.0,-30.0,-30.0,-30.0,-10.4,-30.0,-30.0,-30.0,-30.0,-30.0,35.3,0.0,41.10763,29.02352
-140.0,-140.0,-140.0,-89.3,-140.0,-140.0,-96.2,-140.0,-140.0,-30.0,-30.0,-30.0,-10.8,-30.0,-30.0,-18.0,-30.0,-30.0,15.2,0.0,41.10784,29.02512
-140.0,-140.0,-140.0,-140.0,-140.0,-140.0,-140.0,-145.3,-140.0,-30.0,-30.0,-30.0,-30.0,-30.0,-30.0,-30.0,-32.4,-30.0,-16.2,0.0,41.0992,29.02666
-140.0,-140.0,-140.0,-140.0,-140.0,-140.0,-140.0,-140.0,-140.0,-30.0,-30.0,-30.0,-30.0,-30.0,-30.0,-30.0,-30.0,-30.0,-20.0,0.0,41.09975,29.03094
-79.3,-90.9,-140.0,-140.0,-140.0,-140.0,-140.0,-99.5,-140.0,-11.2,-20.1,-30.0,-30.0,-30.0,-30.0,-30.0,-23.4,-30.0,10.4,0.0,41.10468,29.02277
-140.0,-140.0,-140.0,-85.0,-87.2,-140.0,-140.0,-140.0,-140.0,-30.0,-30.0,-30.0,-11.6,-14.1,-30.0,-30.0,-30.0,-30.0,9.9,0.0,41.10753,29.02295
-140.0,-140.0,-140.0,-68.3,-84.6,-140.0,-140.0,-140.0,-140.0,-30.0,-30.0,-30.0,-10.4,-21.5,-30.0,-30.0,-30.0,-30.0,-17.2,0.0,41.10761,29.02341
-140.0,-140.0,-140.0,-94.2,-140.0,-140.0,-93.0,-140.0,-102.0,-30.0,-30.0,-30.0,-12.9,-30.0,-30.0,-13.5,-30.0,-17.3,1.2,0.0,41.10782,29.02543
-140.0,-140.0,-140.0,-96.9,-91.6,-140.0,-140.0,-140.0,-140.0,-30.0,-30.0,-30.0,-14.2,-11.5,-30.0,-30.0,-30.0,-30.0,6.9,0.0,41.10802,29.02155
-140.0,-140.0,-140.0,-140.0,-140.0,-140.0,-140.0,-76.6,-140.0,-30.0,-30.0,-30.0,-30.0,-30.0,-30.0,-30.0,-10.4,-30.0,22.1,0.0,41.10496,29.02502
-140.0,-140.0,-140.0,-140.0,-140.0,-140.0,-140.0,-63.2,-140.0,-30.0,-30.0,-30.0,-30.0,-30.0,-30.0,-30.0,-10.4,-30.0,27.3,0.0,41.10532,29.02746
-140.0,-140.0,-140.0,-140.0,-140.0,-140.0,-140.0,-123.0,-140.0,-30.0,-30.0,-30.0,-30.0,-30.0,-30.0,-30.0,-13.7,-30.0,0.6,0.0,41.09929,29.02344
-105.1,-140.0,-140.0,-140.0,-140.0,-140.0,-140.0,-86.5,-140.0,-26.7,-30.0,-30.0,-30.0,-30.0,-30.0,-30.0,-10.8,-30.0,11.3,0.0,41.10486,29.02433
-140.0,-140.0,-140.0,-140.0,-76.4,-140.0,-140.0,-140.0,-140.0,-30.0,-30.0,-30.0,-30.0,-10.4,-30.0,-30.0,-30.0,-30.0,29.9,0.0,41.10686,29.02151
-140.0,-140.0,-140.0,-91.6,-86.3,-140.0,-140.0,-140.0,-140.0,-30.0,-30.0,-30.0,-15.2,-11.1,-30.0,-30.0,-30.0,-30.0,7.9,0.0,41.10802,29.02178
-140.0,-140.0,-140.0,-140.0,-140.0,-140.0,-140.0,-135.2,-140.0,-30.0,-30.0,-30.0,-30.0,-30.0,-30.0,-30.0,-22.9,-30.0,-12.0,0.0,41.09895,29.02557
-140.0,-140.0,-140.0,-140.0,-140.0,-140.0,-140.0,-132.4,-140.0,-30.0,-30.0,-30.0,-30.0,-30.0,-30.0,-30.0,-20.3,-30.0,-10.3,0.0,41.09896,29.02569
-140.0,-140.0,-140.0,-140.0,-140.0,-140.0,-140.0,-122.9,-140.0,-30.0,-30.0,-30.0,-30.0,-30.0,-30.0,-30.0,-13.5,-30.0,2.7,0.0,41.09923,29.02425
-140.0,-140.0,-140.0,-140.0,-140.0,-140.0,-140.0,-73.8,-140.0,-30.0,-30.0,-30.0,-30.0,-30.0,-30.0,-30.0,-10.4,-30.0,24.3,0.0,41.10508,29.02583
-140.0,-140.0,-140.0,-140.0,-140.0,-140.0,-140.0,-70.8,-140.0,-30.0,-30.0,-30.0,-30.0,-30.0,-30.0,-30.0,-10.4,-30.0,29.1,0.0,41.10511,29.02603
-140.0,-140.0,-140.0,-140.0,-140.0,-140.0,-140.0,-140.0,-69.2,-30.0,-30.0,-30.0,-30.0,-30.0,-30.0,-30.0,-30.0,-10.6,20.2,0.0,41.10571,29.02781
-140.0,-140.0,-140.0,-140.0,-140.0,-140.0,-140.0,-140.0,-71.9,-30.0,-30.0,-30.0,-30.0,-30.0,-30.0,-30.0,-30.0,-10.4,26.6,0.0,41.10614,29.02781
-140.0,-140.0,-140.0,-140.0,-140.0,-140.0,-140.0,-140.0,-73.0,-30.0,-30.0,-30.0,-30.0,-30.0,-30.0,-30.0,-30.0,-10.3,27.0,0.0,41.10617,29.02784
-140.0,-140.0,-140.0,-140.0,-140.0,-93.2,-140.0,-140.0,-84.3,-30.0,-30.0,-30.0,-30.0,-30.0,-18.5,-30.0,-30.0,-10.7,17.3,0.0,41.10627,29.02798
-140.0,-140.0,-140.0,-140.0,-140.0,-89.8,-140.0,-140.0,-79.3,-30.0,-30.0,-30.0,-30.0,-30.0,-22.2,-30.0,-30.0,-10.5,20.5,0.0,41.10632,29.02805
-140.0,-140.0,-140.0,-140.0,-140.0,-140.0,-140.0,-126.9,-140.0,-30.0,-30.0,-30.0,-30.0,-30.0,-30.0,-30.0,-15.8,-30.0,-3.0,0.0,41.09905,29.02486
-140.0,-140.0,-140.0,-140.0,-140.0,-140.0,-129.8,-124.1,-140.0,-30.0,-30.0,-30.0,-30.0,-30.0,-30.0,-19.6,-14.5,-30.0,-1.9,0.0,41.09931,29.02392
-140.0,-140.0,-140.0,-140.0,-140.0,-140.0,-140.0,-119.7,-140.0,-30.0,-30.0,-30.0,-30.0,-30.0,-30.0,-30.0,-12.6,-30.0,2.6,0.0,41.09978,29.02227
-140.0,-140.0,-140.0,-140.0,-140.0,-140.0,-125.3,-120.6,-140.0,-30.0,-30.0,-30.0,-30.0,-30.0,-30.0,-18.3,-14.0,-30.0,-1.1,0.0,41.1003,29.02157
-140.0,-140.0,-140.0,-140.0,-140.0,-140.0,-116.9,-116.4,-140.0,-30.0,-30.0,-30.0,-30.0,-30.0,-30.0,-14.0,-14.1,-30.0,-0.7,0.0,41.10077,29.02079
-140.0,-140.0,-140.0,-140.0,-140.0,-140.0,-140.0,-78.7,-140.0,-30.0,-30.0,-30.0,-30.0,-30.0,-30.0,-30.0,-10.4,-30.0,16.4,0.0,41.10492,29.0248
-140.0,-140.0,-140.0,-140.0,-140.0,-140.0,-140.0,-72.9,-140.0,-30.0,-30.0,-30.0,-30.0,-30.0,-30.0,-30.0,-10.4,-30.0,23.4,0.0,41.10514,29.02625
-140.0,-140.0,-140.0,-140.0,-140.0,-140.0,-140.0,-73.6,-140.0,-30.0,-30.0,-30.0,-30.0,-30.0,-30.0,-30.0,-10.4,-30.0,26.7,0.0,41.10525,29.027
-140.0,-140.0,-140.0,-140.0,-140.0,-140.0,-140.0,-82.9,-79.3,-30.0,-30.0,-30.0,-30.0,-30.0,-30.0,-30.0,-15.7,-11.4,6.9,0.0,41.10558,29.02777
-140.0,-140.0,-140.0,-140.0,-140.0,-140.0,-140.0,-140.0,-79.2,-30.0,-30.0,-30.0,-30.0,-30.0,-30.0,-30.0,-30.0,-10.5,20.3,0.0,41.1059,29.02779
-140.0,-140.0,-140.0,-140.0,-80.1,-140.0,-140.0,-140.0,-140.0,-30.0,-30.0,-30.0,-30.0,-10.4,-30.0,-30.0,-30.0,-30.0,25.8,0.0,41.10669,29.02154
-140.0,-140.0,-117.4,-140.0,-121.4,-140.0,-140.0,-118.1,-119.6,-30.0,-30.0,-15.6,-30.0,-19.4,-30.0,-30.0,-15.5,-17.2,-6.5,0.0,41.10721,29.0176
-140.0,-140.0,-140.0,-140.0,-140.0,-140.0,-99.9,-140.0,-102.1,-30.0,-30.0,-30.0,-30.0,-30.0,-30.0,-12.3,-30.0,-14.3,6.3,0.0,41.10733,29.02627
-140.0,-140.0,-140.0,-90.2,-90.6,-140.0,-140.0,-140.0,-140.0,-30.0,-30.0,-30.0,-12.1,-12.5,-30.0,-30.0,-30.0,-30.0,4.2,0.0,41.10799,29.0221
-140.0,-140.0,-140.0,-90.7,-89.8,-140.0,-140.0,-140.0,-140.0,-30.0,-30.0,-30.0,-12.6,-11.8,-30.0,-30.0,-30.0,-30.0,2.0,0.0,41.10801,29.0219
-140.0,-140.0,-140.0,-140.0,-133.2,-140.0,-140.0,-130.9,-140.0,-30.0,-30.0,-30.0,-30.0,-21.6,-30.0,-30.0,-19.3,-30.0,-7.0,0.0,41.09898,29.02523
-140.0,-140.0,-140.0,-140.0,-140.0,-140.0,-140.0,-122.3,-140.0,-30.0,-30.0,-30.0,-30.0,-30.0,-30.0,-30.0,-13.4,-30.0,0.4,0.0,41.0994,29.02343
-140.0,-140.0,-140.0,-140.0,-140.0,-140.0,-140.0,-117.6,-140.0,-30.0,-30.0,-30.0,-30.0,-30.0,-30.0,-30.0,-11.9,-30.0,2.7,0.0,41.09952,29.02286
-140.0,-140.0,-140.0,-140.0,-140.0,-140.0,-129.6,-117.9,-140.0,-30.0,-30.0,-30.0,-30.0,-30.0,-30.0,-22.5,-12.1,-30.0,2.3,0.0,41.09989,29.02215
-140.0,-140.0,-140.0,-140.0,-140.0,-140.0,-140.0,-77.3,-140.0,-30.0,-30.0,-30.0,-30.0,-30.0,-30.0,-30.0,-10.4,-30.0,22.5,0.0,41.10501,29.02538
-140.0,-140.0,-140.0,-140.0,-140.0,-140.0,-140.0,-71.1,-140.0,-30.0,-30.0,-30.0,-30.0,-30.0,-30.0,-30.0,-10.4,-30.0,32.0,0.0,41.10519,29.02654
-140.0,-140.0,-140.0,-140.0,-140.0,-140.0,-140.0,-73.6,-140.0,-30.0,-30.0,-30.0,-30.0,-30.0,-30.0,-30.0,-10.4,-30.0,29.3,0.0,41.10523,29.02681
-140.0,-140.0,-140.0,-140.0,-140.0,-140.0,-140.0,-74.5,-140.0,-30.0,-30.0,-30.0,-30.0,-30.0,-30.0,-30.0,-10.4,-30.0,29.7,0.0,41.10524,29.02691
-140.0,-140.0,-140.0,-140.0,-140.0,-140.0,-140.0,-72.4,-140.0,-30.0,-30.0,-30.0,-30.0,-30.0,-30.0,-30.0,-10.4,-30.0,20.3,0.0,41.10528,29.02718
-140.0,-140.0,-140.0,-140.0,-140.0,-140.0,-140.0,-63.3,-140.0,-30.0,-30.0,-30.0,-30.0,-30.0,-30.0,-30.0,-10.4,-30.0,26.3,0.0,41.10531,29.02743
-140.0,-140.0,-140.0,-140.0,-140.0,-140.0,-140.0,-83.2,-76.7,-30.0,-30.0,-30.0,-30.0,-30.0,-30.0,-30.0,-15.6,-11.4,11.7,0.0,41.10564,29.0278
-140.0,-140.0,-140.0,-140.0,-140.0,-140.0,-140.0,-140.0,-70.2,-30.0,-30.0,-30.0,-30.0,-30.0,-30.0,-30.0,-30.0,-10.4,26.4,0.0,41.10613,29.02779
-140.0,-140.0,-140.0,-140.0,-140.0,-140.0,-88.3,-140.0,-96.5,-30.0,-30.0,-30.0,-30.0,-30.0,-30.0,-10.9,-30.0,-14.7,8.2,0.0,41.10684,29.02639
-140.0,-140.0,-140.0,-140.0,-140.0,-87.9,-140.0,-140.0,-88.5,-30.0,-30.0,-30.0,-30.0,-30.0,-12.8,-30.0,-30.0,-12.6,4.5,0.0,41.10714,29.02894
-140.0,-140.0,-140.0,-90.2,-140.0,-140.0,-96.0,-140.0,-140.0,-30.0,-30.0,-30.0,-11.5,-30.0,-30.0,-15.4,-30.0,-30.0,-0.6,0.0,41.10783,29.02517
-140.0,-140.0,-140.0,-97.6,-102.8,-140.0,-140.0,-140.0,-140.0,-30.0,-30.0,-30.0,-11.2,-15.6,-30.0,-30.0,-30.0,-30.0,-4.3,0.0,41.10798,29.02123
-140.0,-140.0,-140.0,-140.0,-140.0,-140.0,-140.0,-123.9,-140.0,-30.0,-30.0,-30.0,-30.0,-30.0,-30.0,-30.0,-14.2,-30.0,-1.3,0.0,41.09939,29.02351
