RSRP_PCI3,RSRP_PCI13,RSRP_PCI23,RSRP_PCI30,RSRP_PCI40,RSRP_PCI48,RSRP_PCI59,RSRP_PCI68,RSRP_PCI76,RSRQ_PCI3,RSRQ_PCI13,RSRQ_PCI23,RSRQ_PCI30,RSRQ_PCI40,RSRQ_PCI48,RSRQ_PCI59,RSRQ_PCI68,RSRQ_PCI76,TA_Serving,SINR_Serving,Latitude,Longitude
-180.0,-180.0,-180.0,-62.4,-75.6,-180.0,-180.0,-180.0,-180.0,-45.0,-45.0,-45.0,-10.3,-20.3,-45.0,-45.0,-45.0,-45.0,0.0,-16.3,41.10764,29.02351
-180.0,-180.0,-180.0,-180.0,-180.0,-180.0,-180.0,-180.0,-180.0,-45.0,-45.0,-45.0,-45.0,-45.0,-45.0,-45.0,-45.0,-45.0,0.0,-20.0,41.09963,29.03034
-180.0,-180.0,-180.0,-180.0,-180.0,-180.0,-180.0,-120.3,-180.0,-45.0,-45.0,-45.0,-45.0,-45.0,-45.0,-45.0,-12.8,-45.0,0.0,3.5,41.09981,29.02221
-180.0,-180.0,-180.0,-180.0,-180.0,-180.0,-124.7,-120.6,-180.0,-45.0,-45.0,-45.0,-45.0,-45.0,-45.0,-17.5,-13.7,-45.0,0.0,-0.7,41.10023,29.02158
-180.0,-180.0,-180.0,-75.5,-84.0,-180.0,-180.0,-180.0,-180.0,-45.0,-45.0,-45.0,-10.4,-18.8,-45.0,-45.0,-45.0,-45.0,0.0,-14.1,41.10759,29.02332
-180.0,-180.0,-180.0,-180.0,-180.0,-80.0,-180.0,-180.0,-89.4,-45.0,-45.0,-45.0,-45.0,-45.0,-10.7,-45.0,-45.0,-18.9,0.0,21.0,41.10785,29.0291
-132.2,-180.0,-180.0,-180.0,-180.0,-180.0,-180.0,-180.0,-180.0,-20.1,-45.0,-45.0,-45.0,-45.0,-45.0,-45.0,-45.0,-45.0,0.0,-16.2,41.09932,29.02693
-180.0,-180.0,-180.0,-180.0,-180.0,-180.0,-180.0,-180.0,-180.0,-45.0,-45.0,-45.0,-45.0,-45.0,-45.0,-45.0,-45.0,-45.0,0.0,-20.0,41.10753,29.0231
-180.0,-180.0,-180.0,-180.0,-180.0,-180.0,-180.0,-123.2,-180.0,-45.0,-45.0,-45.0,-45.0,-45.0,-45.0,-45.0,-13.9,-45.0,0.0,0.4,41.09931,29.02337
-84.1,-68.5,-180.0,-180.0,-180.0,-180.0,-180.0,-180.0,-180.0,-18.7,-10.5,-45.0,-45.0,-45.0,-45.0,-45.0,-45.0,-45.0,0.0,15.7,41.10439,29.02033
-180.0,-68.9,-180.0,-180.0,-180.0,-180.0,-180.0,-180.0,-180.0,-45.0,-10.7,-45.0,-45.0,-45.0,-45.0,-45.0,-45.0,-45.0,0.0,15.6,41.10443,29.02055
-180.0,-180.0,-180.0,-180.0,-180.0,-180.0,-180.0,-140.8,-180.0,-45.0,-45.0,-45.0,-45.0,-45.0,-45.0,-45.0,-28.0,-45.0,0.0,-16.9,41.09929,29.02686
-180.0,-61.1,-180.0,-180.0,-180.0,-180.0,-180.0,-180.0,-180.0,-45.0,-10.4,-45.0,-45.0,-45.0,-45.0,-45.0,-45.0,-45.0,0.0,27.3,41.10446,29.02074
-180.0,-180.0,-180.0,-180.0,-180.0,-180.0,-180.0,-180.0,-180.0,-45.0,-45.0,-45.0,-45.0,-45.0,-45.0,-45.0,-45.0,-45.0,0.0,-20.0,41.10453,29.02148
-84.6,-66.8,-180.0,-180.0,-180.0,-180.0,-180.0,-180.0,-180.0,-22.4,-10.4,-45.0,-45.0,-45.0,-45.0,-45.0,-45.0,-45.0,0.0,17.8,41.10437,29.02022
-180.0,-180.0,-180.0,-84.3,-85.6,-180.0,-180.0,-180.0,-180.0,-45.0,-45.0,-45.0,-11.8,-13.3,-45.0,-45.0,-45.0,-45.0,0.0,5.3,41.10756,29.02266
-180.0,-180.0,-180.0,-180.0,-180.0,-180.0,-180.0,-122.0,-180.0,-45.0,-45.0,-45.0,-45.0,-45.0,-45.0,-45.0,-13.2,-45.0,0.0,2.4,41.09934,29.02317
-82.3,-95.3,-99.9,-180.0,-180.0,-180.0,-180.0,-180.0,-180.0,-11.1,-19.8,-22.3,-45.0,-45.0,-45.0,-45.0,-45.0,-45.0,0.0,13.9,41.10514,29.02288
-180.0,-180.0,-180.0,-61.2,-75.2,-180.0,-180.0,-180.0,-180.0,-45.0,-45.0,-45.0,-10.3,-20.6,-45.0,-45.0,-45.0,-45.0,0.0,-18.1,41.10764,29.02353
-180.0,-180.0,-180.0,-180.0,-180.0,-180.0,-180.0,-180.0,-180.0,-45.0,-45.0,-45.0,-45.0,-45.0,-45.0,-45.0,-45.0,-45.0,0.0,-20.0,41.10767,29.02368
-180.0,-180.0,-180.0,-68.4,-180.0,-180.0,-180.0,-180.0,-180.0,-45.0,-45.0,-45.0,-10.4,-45.0,-45.0,-45.0,-45.0,-45.0,0.0,32.7,41.10785,29.02467
-180.0,-180.0,-180.0,-180.0,-180.0,-180.0,-180.0,-127.7,-180.0,-45.0,-45.0,-45.0,-45.0,-45.0,-45.0,-45.0,-16.2,-45.0,0.0,-7.0,41.09904,29.02617
-180.0,-180.0,-180.0,-180.0,-180.0,-180.0,-180.0,-120.2,-180.0,-45.0,-45.0,-45.0,-45.0,-45.0,-45.0,-45.0,-12.5,-45.0,0.0,1.5,41.09936,29.02311
-80.1,-89.4,-180.0,-180.0,-180.0,-180.0,-180.0,-108.0,-180.0,-11.2,-20.1,-45.0,-45.0,-45.0,-45.0,-45.0,-24.7,-45.0,0.0,11.0,41.10469,29.02284
-81.1,-180.0,-180.0,-180.0,-180.0,-180.0,-180.0,-83.3,-180.0,-11.6,-45.0,-45.0,-45.0,-45.0,-45.0,-45.0,-15.1,-45.0,0.0,6.7,41.10477,29.02304
-77.0,-104.3,-180.0,-180.0,-180.0,-180.0,-180.0,-88.7,-180.0,-11.0,-26.1,-45.0,-45.0,-45.0,-45.0,-45.0,-20.4,-45.0,0.0,10.0,41.10479,29.02301
-75.2,-180.0,-180.0,-180.0,-180.0,-180.0,-180.0,-100.1,-180.0,-10.7,-45.0,-45.0,-45.0,-45.0,-45.0,-45.0,-24.5,-45.0,0.0,14.4,41.10484,29.02297
-83.0,-180.0,-90.1,-180.0,-107.8,-180.0,-180.0,-180.0,-180.0,-11.5,-45.0,-15.7,-45.0,-25.9,-45.0,-45.0,-45.0,-45.0,0.0,6.3,41.10543,29.02281
-180.0,-180.0,-180.0,-180.0,-180.0,-180.0,-180.0,-75.7,-81.3,-45.0,-45.0,-45.0,-45.0,-45.0,-45.0,-45.0,-11.0,-15.0,0.0,-2.3,41.10546,29.02769
-86.8,-180.0,-86.3,-180.0,-91.9,-180.0,-180.0,-180.0,-180.0,-13.3,-45.0,-13.5,-45.0,-18.2,-45.0,-45.0,-45.0,-45.0,0.0,5.1,41.1055,29.0228
-180.0,-180.0,-180.0,-180.0,-73.7,-180.0,-180.0,-180.0,-180.0,-45.0,-45.0,-45.0,-45.0,-10.4,-45.0,-45.0,-45.0,-45.0,0.0,27.3,41.1074,29.02183
-81.5,-87.9,-180.0,-180.0,-180.0,-180.0,-180.0,-94.8,-180.0,-11.2,-17.5,-45.0,-45.0,-45.0,-45.0,-45.0,-21.0,-45.0,0.0,11.7,41.10467,29.02269
-78.0,-100.8,-129.6,-180.0,-180.0,-180.0,-180.0,-180.0,-180.0,-10.8,-24.9,-34.5,-45.0,-45.0,-45.0,-45.0,-45.0,-45.0,0.0,11.7,41.10521,29.02287
-180.0,-180.0,-180.0,-180.0,-74.9,-180.0,-180.0,-180.0,-180.0,-45.0,-45.0,-45.0,-45.0,-10.3,-45.0,-45.0,-45.0,-45.0,0.0,29.7,41.10699,29.02152
-180.0,-180.0,-180.0,-66.0,-180.0,-180.0,-180.0,-180.0,-180.0,-45.0,-45.0,-45.0,-10.4,-45.0,-45.0,-45.0,-45.0,-45.0,0.0,35.3,41.10774,29.02393
-180.0,-180.0,-180.0,-180.0,-180.0,-180.0,-79.9,-180.0,-180.0,-45.0,-45.0,-45.0,-45.0,-45.0,-45.0,-10.7,-45.0,-45.0,0.0,11.4,41.10788,29.02691
-180.0,-180.0,-180.0,-180.0,-132.2,-180.0,-180.0,-137.5,-180.0,-45.0,-45.0,-45.0,-45.0,-19.4,-45.0,-45.0,-25.2,-45.0,0.0,-9.9,41.099,29.02604
-126.4,-180.0,-180.0,-180.0,-180.0,-180.0,-180.0,-180.0,-180.0,-14.0,-45.0,-45.0,-45.0,-45.0,-45.0,-45.0,-45.0,-45.0,0.0,-20.0,41.09965,29.02747
-94.4,-180.0,-180.0,-180.0,-180.0,-180.0,-180.0,-82.2,-180.0,-17.0,-45.0,-45.0,-45.0,-45.0,-45.0,-45.0,-10.6,-45.0,0.0,10.7,41.10488,29.02451
-79.8,-111.9,-94.8,-180.0,-180.0,-180.0,-180.0,-98.4,-180.0,-11.3,-28.9,-22.6,-45.0,-45.0,-45.0,-45.0,-23.3,-45.0,0.0,11.6,41.10493,29.02294
-180.0,-180.0,-180.0,-180.0,-180.0,-180.0,-180.0,-76.0,-85.2,-45.0,-45.0,-45.0,-45.0,-45.0,-45.0,-45.0,-10.4,-20.4,0.0,26.2,41.10505,29.02562
-81.2,-96.1,-87.8,-180.0,-91.5,-180.0,-180.0,-180.0,-180.0,-11.5,-21.6,-15.1,-45.0,-17.2,-45.0,-45.0,-45.0,-45.0,0.0,7.5,41.10536,29.02283
-180.0,-180.0,-180.0,-71.7,-180.0,-180.0,-180.0,-180.0,-180.0,-45.0,-45.0,-45.0,-10.3,-45.0,-45.0,-45.0,-45.0,-45.0,0.0,31.1,41.10785,29.02448
-180.0,-180.0,-180.0,-180.0,-180.0,-180.0,-180.0,-180.0,-180.0,-45.0,-45.0,-45.0,-45.0,-45.0,-45.0,-45.0,-45.0,-45.0,0.0,-20.0,41.09963,29.03008
-80.7,-91.8,-180.0,-180.0,-180.0,-180.0,-180.0,-97.7,-180.0,-11.5,-19.8,-45.0,-45.0,-45.0,-45.0,-45.0,-20.2,-45.0,0.0,7.7,41.10471,29.023
-88.3,-180.0,-98.9,-180.0,-180.0,-180.0,-180.0,-86.2,-180.0,-13.2,-45.0,-20.7,-45.0,-45.0,-45.0,-45.0,-13.1,-45.0,0.0,4.0,41.10473,29.02323
-180.0,-180.0,-180.0,-180.0,-180.0,-180.0,-180.0,-76.8,-180.0,-45.0,-45.0,-45.0,-45.0,-45.0,-45.0,-45.0,-10.4,-45.0,0.0,23.0,41.10498,29.02514
-180.0,-180.0,-118.4,-180.0,-113.6,-180.0,-180.0,-116.7,-108.4,-45.0,-45.0,-19.7,-45.0,-16.3,-45.0,-45.0,-18.9,-13.1,0.0,-0.8,41.10748,29.01903
-180.0,-180.0,-180.0,-82.1,-84.6,-180.0,-180.0,-180.0,-180.0,-45.0,-45.0,-45.0,-11.7,-12.9,-45.0,-45.0,-45.0,-45.0,0.0,5.2,41.10753,29.02274
-180.0,-180.0,-180.0,-64.2,-180.0,-180.0,-180.0,-180.0,-180.0,-45.0,-45.0,-45.0,-10.3,-45.0,-45.0,-45.0,-45.0,-45.0,0.0,35.5,41.10761,29.02344
-180.0,-180.0,-180.0,-61.3,-180.0,-180.0,-180.0,-180.0,-180.0,-45.0,-45.0,-45.0,-10.4,-45.0,-45.0,-45.0,-45.0,-45.0,0.0,35.3,41.10763,29.02352
-180.0,-180.0,-180.0,-89.3,-180.0,-180.0,-96.2,-180.0,-180.0,-45.0,-45.0,-45.0,-10.8,-45.0,-45.0,-18.0,-45.0,-45.0,0.0,15.2,41.10784,29.02512
-180.0,-180.0,-180.0,-180.0,-180.0,-180.0,-180.0,-145.3,-180.0,-45.0,-45.0,-45.0,-45.0,-45.0,-45.0,-45.0,-32.4,-45.0,0.0,-16.2,41.0992,29.02666
-180.0,-180.0,-180.0,-180.0,-180.0,-180.0,-180.0,-180.0,-180.0,-45.0,-45.0,-45.0,-45.0,-45.0,-45.0,-45.0,-45.0,-45.0,0.0,-20.0,41.09975,29.03094
-79.3,-90.9,-180.0,-180.0,-180.0,-180.0,-180.0,-99.5,-180.0,-11.2,-20.1,-45.0,-45.0,-45.0,-45.0,-45.0,-23.4,-45.0,0.0,10.4,41.10468,29.02277
-180.0,-180.0,-180.0,-85.0,-87.2,-180.0,-180.0,-180.0,-180.0,-45.0,-45.0,-45.0,-11.6,-14.1,-45.0,-45.0,-45.0,-45.0,0.0,9.9,41.10753,29.02295
-180.0,-180.0,-180.0,-68.3,-84.6,-180.0,-180.0,-180.0,-180.0,-45.0,-45.0,-45.0,-10.4,-21.5,-45.0,-45.0,-45.0,-45.0,0.0,-17.2,41.10761,29.02341
-180.0,-180.0,-180.0,-94.2,-180.0,-180.0,-93.0,-180.0,-102.0,-45.0,-45.0,-45.0,-12.9,-45.0,-45.0,-13.5,-45.0,-17.3,0.0,1.2,41.10782,29.02543
-180.0,-180.0,-180.0,-96.9,-91.6,-180.0,-180.0,-180.0,-180.0,-45.0,-45.0,-45.0,-14.2,-11.5,-45.0,-45.0,-45.0,-45.0,0.0,6.9,41.10802,29.02155
-180.0,-180.0,-180.0,-180.0,-180.0,-180.0,-180.0,-76.6,-180.0,-45.0,-45.0,-45.0,-45.0,-45.0,-45.0,-45.0,-10.4,-45.0,0.0,22.1,41.10496,29.02502
-180.0,-180.0,-180.0,-180.0,-180.0,-180.0,-180.0,-63.2,-180.0,-45.0,-45.0,-45.0,-45.0,-45.0,-45.0,-45.0,-10.4,-45.0,0.0,27.3,41.10532,29.02746
-180.0,-180.0,-180.0,-180.0,-180.0,-180.0,-180.0,-123.0,-180.0,-45.0,-45.0,-45.0,-45.0,-45.0,-45.0,-45.0,-13.7,-45.0,0.0,0.6,41.09929,29.02344
-105.1,-180.0,-180.0,-180.0,-180.0,-180.0,-180.0,-86.5,-180.0,-26.7,-45.0,-45.0,-45.0,-45.0,-45.0,-45.0,-10.8,-45.0,0.0,11.3,41.10486,29.02433
-180.0,-180.0,-180.0,-180.0,-76.4,-180.0,-180.0,-180.0,-180.0,-45.0,-45.0,-45.0,-45.0,-10.4,-45.0,-45.0,-45.0,-45.0,0.0,29.9,41.10686,29.02151
-180.0,-180.0,-180.0,-91.6,-86.3,-180.0,-180.0,-180.0,-180.0,-45.0,-45.0,-45.0,-15.2,-11.1,-45.0,-45.0,-45.0,-45.0,0.0,7.9,41.10802,29.02178
-180.0,-180.0,-180.0,-180.0,-180.0,-180.0,-180.0,-135.2,-180.0,-45.0,-45.0,-45.0,-45.0,-45.0,-45.0,-45.0,-22.9,-45.0,0.0,-12.0,41.09895,29.02557
-180.0,-180.0,-180.0,-180.0,-180.0,-180.0,-180.0,-132.4,-180.0,-45.0,-45.0,-45.0,-45.0,-45.0,-45.0,-45.0,-20.3,-45.0,0.0,-10.3,41.09896,29.02569
-180.0,-180.0,-180.0,-180.0,-180.0,-180.0,-180.0,-122.9,-180.0,-45.0,-45.0,-45.0,-45.0,-45.0,-45.0,-45.0,-13.5,-45.0,0.0,2.7,41.09923,29.02425
-180.0,-180.0,-180.0,-180.0,-180.0,-180.0,-180.0,-73.8,-180.0,-45.0,-45.0,-45.0,-45.0,-45.0,-45.0,-45.0,-10.4,-45.0,0.0,24.3,41.10508,29.02583
-180.0,-180.0,-180.0,-180.0,-180.0,-180.0,-180.0,-70.8,-180.0,-45.0,-45.0,-45.0,-45.0,-45.0,-45.0,-45.0,-10.4,-45.0,0.0,29.1,41.10511,29.02603
-180.0,-180.0,-180.0,-180.0,-180.0,-180.0,-180.0,-180.0,-69.2,-45.0,-45.0,-45.0,-45.0,-45.0,-45.0,-45.0,-45.0,-10.6,0.0,20.2,41.10571,29.02781
-180.0,-180.0,-180.0,-180.0,-180.0,-180.0,-180.0,-180.0,-71.9,-45.0,-45.0,-45.0,-45.0,-45.0,-45.0,-45.0,-45.0,-10.4,0.0,26.6,41.10614,29.02781
-180.0,-180.0,-180.0,-180.0,-180.0,-180.0,-180.0,-180.0,-73.0,-45.0,-45.0,-45.0,-45.0,-45.0,-45.0,-45.0,-45.0,-10.3,0.0,27.0,41.10617,29.02784
-180.0,-180.0,-180.0,-180.0,-180.0,-93.2,-180.0,-180.0,-84.3,-45.0,-45.0,-45.0,-45.0,-45.0,-18.5,-45.0,-45.0,-10.7,0.0,17.3,41.10627,29.02798
-180.0,-180.0,-180.0,-180.0,-180.0,-89.8,-180.0,-180.0,-79.3,-45.0,-45.0,-45.0,-45.0,-45.0,-22.2,-45.0,-45.0,-10.5,0.0,20.5,41.10632,29.02805
-180.0,-180.0,-180.0,-180.0,-180.0,-180.0,-180.0,-126.9,-180.0,-45.0,-45.0,-45.0,-45.0,-45.0,-45.0,-45.0,-15.8,-45.0,0.0,-3.0,41.09905,29.02486
-180.0,-180.0,-180.0,-180.0,-180.0,-180.0,-129.8,-124.1,-180.0,-45.0,-45.0,-45.0,-45.0,-45.0,-45.0,-19.6,-14.5,-45.0,0.0,-1.9,41.09931,29.02392
-180.0,-180.0,-180.0,-180.0,-180.0,-180.0,-180.0,-119.7,-180.0,-45.0,-45.0,-45.0,-45.0,-45.0,-45.0,-45.0,-12.6,-45.0,0.0,2.6,41.09978,29.02227
-180.0,-180.0,-180.0,-180.0,-180.0,-180.0,-125.3,-120.6,-180.0,-45.0,-45.0,-45.0,-45.0,-45.0,-45.0,-18.3,-14.0,-45.0,0.0,-1.1,41.1003,29.02157
-180.0,-180.0,-180.0,-180.0,-180.0,-180.0,-116.9,-116.4,-180.0,-45.0,-45.0,-45.0,-45.0,-45.0,-45.0,-14.0,-14.1,-45.0,0.0,-0.7,41.10077,29.02079
-180.0,-180.0,-180.0,-180.0,-180.0,-180.0,-180.0,-78.7,-180.0,-45.0,-45.0,-45.0,-45.0,-45.0,-45.0,-45.0,-10.4,-45.0,0.0,16.4,41.10492,29.0248
-180.0,-180.0,-180.0,-180.0,-180.0,-180.0,-180.0,-72.9,-180.0,-45.0,-45.0,-45.0,-45.0,-45.0,-45.0,-45.0,-10.4,-45.0,0.0,23.4,41.10514,29.02625
-180.0,-180.0,-180.0,-180.0,-180.0,-180.0,-180.0,-73.6,-180.0,-45.0,-45.0,-45.0,-45.0,-45.0,-45.0,-45.0,-10.4,-45.0,0.0,26.7,41.10525,29.027
-180.0,-180.0,-180.0,-180.0,-180.0,-180.0,-180.0,-82.9,-79.3,-45.0,-45.0,-45.0,-45.0,-45.0,-45.0,-45.0,-15.7,-11.4,0.0,6.9,41.10558,29.02777
-180.0,-180.0,-180.0,-180.0,-180.0,-180.0,-180.0,-180.0,-79.2,-45.0,-45.0,-45.0,-45.0,-45.0,-45.0,-45.0,-45.0,-10.5,0.0,20.3,41.1059,29.02779
-180.0,-180.0,-180.0,-180.0,-80.1,-180.0,-180.0,-180.0,-180.0,-45.0,-45.0,-45.0,-45.0,-10.4,-45.0,-45.0,-45.0,-45.0,0.0,25.8,41.10669,29.02154
-180.0,-180.0,-117.4,-180.0,-121.4,-180.0,-180.0,-118.1,-119.6,-45.0,-45.0,-15.6,-45.0,-19.4,-45.0,-45.0,-15.5,-17.2,0.0,-6.5,41.10721,29.0176
-180.0,-180.0,-180.0,-180.0,-180.0,-180.0,-99.9,-180.0,-102.1,-45.0,-45.0,-45.0,-45.0,-45.0,-45.0,-12.3,-45.0,-14.3,0.0,6.3,41.10733,29.02627
-180.0,-180.0,-180.0,-90.2,-90.6,-180.0,-180.0,-180.0,-180.0,-45.0,-45.0,-45.0,-12.1,-12.5,-45.0,-45.0,-45.0,-45.0,0.0,4.2,41.10799,29.0221
-180.0,-180.0,-180.0,-90.7,-89.8,-180.0,-180.0,-180.0,-180.0,-45.0,-45.0,-45.0,-12.6,-11.8,-45.0,-45.0,-45.0,-45.0,0.0,2.0,41.10801,29.0219
-180.0,-180.0,-180.0,-180.0,-133.2,-180.0,-180.0,-130.9,-180.0,-45.0,-45.0,-45.0,-45.0,-21.6,-45.0,-45.0,-19.3,-45.0,0.0,-7.0,41.09898,29.02523
-180.0,-180.0,-180.0,-180.0,-180.0,-180.0,-180.0,-122.3,-180.0,-45.0,-45.0,-45.0,-45.0,-45.0,-45.0,-45.0,-13.4,-45.0,0.0,0.4,41.0994,29.02343
-180.0,-180.0,-180.0,-180.0,-180.0,-180.0,-180.0,-117.6,-180.0,-45.0,-45.0,-45.0,-45.0,-45.0,-45.0,-45.0,-11.9,-45.0,0.0,2.7,41.09952,29.02286
-180.0,-180.0,-180.0,-180.0,-180.0,-180.0,-129.6,-117.9,-180.0,-45.0,-45.0,-45.0,-45.0,-45.0,-45.0,-22.5,-12.1,-45.0,0.0,2.3,41.09989,29.02215
-180.0,-180.0,-180.0,-180.0,-180.0,-180.0,-180.0,-77.3,-180.0,-45.0,-45.0,-45.0,-45.0,-45.0,-45.0,-45.0,-10.4,-45.0,0.0,22.5,41.10501,29.02538
-180.0,-180.0,-180.0,-180.0,-180.0,-180.0,-180.0,-71.1,-180.0,-45.0,-45.0,-45.0,-45.0,-45.0,-45.0,-45.0,-10.4,-45.0,0.0,32.0,41.10519,29.02654
-180.0,-180.0,-180.0,-180.0,-180.0,-180.0,-180.0,-73.6,-180.0,-45.0,-45.0,-45.0,-45.0,-45.0,-45.0,-45.0,-10.4,-45.0,0.0,29.3,41.10523,29.02681
-180.0,-180.0,-180.0,-180.0,-180.0,-180.0,-180.0,-74.5,-180.0,-45.0,-45.0,-45.0,-45.0,-45.0,-45.0,-45.0,-10.4,-45.0,0.0,29.7,41.10524,29.02691
-180.0,-180.0,-180.0,-180.0,-180.0,-180.0,-180.0,-72.4,-180.0,-45.0,-45.0,-45.0,-45.0,-45.0,-45.0,-45.0,-10.4,-45.0,0.0,20.3,41.10528,29.02718
-180.0,-180.0,-180.0,-180.0,-180.0,-180.0,-180.0,-63.3,-180.0,-45.0,-45.0,-45.0,-45.0,-45.0,-45.0,-45.0,-10.4,-45.0,0.0,26.3,41.10531,29.02743
-180.0,-180.0,-180.0,-180.0,-180.0,-180.0,-180.0,-83.2,-76.7,-45.0,-45.0,-45.0,-45.0,-45.0,-45.0,-45.0,-15.6,-11.4,0.0,11.7,41.10564,29.0278
-180.0,-180.0,-180.0,-180.0,-180.0,-180.0,-180.0,-180.0,-70.2,-45.0,-45.0,-45.0,-45.0,-45.0,-45.0,-45.0,-45.0,-10.4,0.0,26.4,41.10613,29.02779
-180.0,-180.0,-180.0,-180.0,-180.0,-180.0,-88.3,-180.0,-96.5,-45.0,-45.0,-45.0,-45.0,-45.0,-45.0,-10.9,-45.0,-14.7,0.0,8.2,41.10684,29.02639
-180.0,-180.0,-180.0,-180.0,-180.0,-87.9,-180.0,-180.0,-88.5,-45.0,-45.0,-45.0,-45.0,-45.0,-12.8,-45.0,-45.0,-12.6,0.0,4.5,41.10714,29.02894
-180.0,-180.0,-180.0,-90.2,-180.0,-180.0,-96.0,-180.0,-180.0,-45.0,-45.0,-45.0,-11.5,-45.0,-45.0,-15.4,-45.0,-45.0,0.0,-0.6,41.10783,29.02517
-180.0,-180.0,-180.0,-97.6,-102.8,-180.0,-180.0,-180.0,-180.0,-45.0,-45.0,-45.0,-11.2,-15.6,-45.0,-45.0,-45.0,-45.0,0.0,-4.3,41.10798,29.02123
-180.0,-180.0,-180.0,-180.0,-180.0,-180.0,-180.0,-123.9,-180.0,-45.0,-45.0,-45.0,-45.0,-45.0,-45.0,-45.0,-14.2,-45.0,0.0,-1.3,41.09939,29.02351
